,urn,title,authors,year
336,URN:NBN:no-nb_digibok_2020102007679,Signatur 1 : norsk for yrkesfag vg1,"Andresen , Øyvind / Berge , Eli",2013
1860,URN:NBN:no-nb_digibok_2013071508075,Maia lager en sykkel,"Ersland , Bjørn Arild",2013
1844,URN:NBN:no-nb_digibok_2018062805073,Salto : [1. trinn] Arbeidsbok B : stavskrift,"Fjeld , Siw Monica",2013
2538,URN:NBN:no-nb_digibok_2013071808159,Ordriket : Arbeidsbok 3B,,2013
2659,URN:NBN:no-nb_digibok_2020121707557,Maia lagar ein sykkel,"Ersland , Bjørn Arild",2013
941,URN:NBN:no-nb_digibok_2020040107004,Saga : Grunnbok 8,"Jensen , Marit / Groseth , Johannes",2013
1282,URN:NBN:no-nb_digibok_2021031048609,Fnugg i Antarktis,"Brenden , Laila",2013
2535,URN:NBN:no-nb_digibok_2018102505007,ABC-toget : Raud 2,"Devold , Else H.",2013
4209,URN:NBN:no-nb_digibok_2013071808160,Ordriket : Arbeidsbok 3A,,2013
325,URN:NBN:no-nb_digibok_2013080508109,Norsk for yrkesfag 1,"Gitmark , Cecilie / Johannesen , Nina Hovda / Nøstdal , Rune Krogh / Haraldsen , Mette",2013
937,URN:NBN:no-nb_digibok_2020032507116,Pål og Pia hjelper,"Sunne , Linn T.",2013
3937,URN:NBN:no-nb_digibok_2018062805036,Salto : norsk for barnesteget : [1. trinn] Arbeidsbok A : store og små bokstavar,"Fjeld , Siw Monica",2013
1821,URN:NBN:no-nb_digibok_2017121808145,ABC-toget : Rød 1,"Devold , Else H.",2013
3210,URN:NBN:no-nb_digibok_2018091907085,"Se, Ane","Andersen , Torill",2013
3501,URN:NBN:no-nb_digibok_2013071608233,Kim løper,"Klepp , Anneli",2013
3152,URN:NBN:no-nb_digibok_2020032507117,Kule kroppen,"Sønneland , Håkon Forfod",2013
4494,URN:NBN:no-nb_digibok_2020030507062,Per får ein venn,"Fjeld , Siw Monica",2013
4150,URN:NBN:no-nb_digibok_2018030548090,Gudene på Olympos,"Kristensen , Vidar / Rudebjer , Lars",2013
3833,URN:NBN:no-nb_digibok_2019121007059,Norskboka 1 : norsk for grunnskolelærarutdanning 1-7,"Traavik , Hilde / Jansson , Benthe Kolberg",2013
1608,URN:NBN:no-nb_digibok_2020100807847,Dinosaurane sine våpen,"Sønneland , Håkon Forfod",2013
2858,URN:NBN:no-nb_digibok_2018082007026,Lesing pågår : B,"Solem , Hanne",2013
1457,URN:NBN:no-nb_digibok_2020110507758,Skriving pågår : A Lærerveiledning,"Gedde-Dahl , Trine / Øgreid , Anne Kristine",2013
3770,URN:NBN:no-nb_digibok_2020110507745,Salto : [1. trinn] Arbeidsbok B : løkkeskrift,"Fjeld , Siw Monica",2013
271,URN:NBN:no-nb_digibok_2018071707127,Sune og ufoen,"Andersen , Torill",2013
1464,URN:NBN:no-nb_digibok_2018091907067,Kaleido : [1. klasse] Lese- og skrivebok 1A,"Andersen , Torill",2013
3013,URN:NBN:no-nb_digibok_2020092507543,Salto : [1. trinn] Elevbok : store og små bokstaver,"Fjeld , Siw Monica",2013
270,URN:NBN:no-nb_digibok_2013092608030,Ordriket : Lesebok 3A,,2013
1591,URN:NBN:no-nb_digibok_2018091907083,Sune og ufoen,"Andersen , Torill",2013
1478,URN:NBN:no-nb_digibok_2013071708133,Papirfly,"Granly , John",2013
2849,URN:NBN:no-nb_digibok_2013070938122,Maia lager en stol,"Ersland , Bjørn Arild",2013
545,URN:NBN:no-nb_digibok_2018070307003,Nye vegar til nynorsk,"Berge , Anne Lene",2013
2888,URN:NBN:no-nb_digibok_2020120806101,Kaleido1 : Lærerens bok,"Andersen , Torill / Johansen , Ronny",2013
3818,URN:NBN:no-nb_digibok_2020110507819,Salto : [1. trinn] Arbeidsbok B : lykkjeskrift,"Fjeld , Siw Monica",2013
876,URN:NBN:no-nb_digibok_2018091907084,Skoleveien,"Johnsen , Janne Aasebø",2013
234,URN:NBN:no-nb_digibok_2013071708134,Bestemor og bestefar,"Andersen , Torill",2013
238,URN:NBN:no-nb_digibok_2018082207103,En hemmelig ting i sekken,"Ersland , Bjørn Arild",2013
