,urn,title,authors,year
4057,URN:NBN:no-nb_digibok_2008051903001,Practisk Veiledning i Modersmaalet,"Hansen , Maurits / R. Hviids Enke / Hansen , G.",1836
1005,URN:NBN:no-nb_digibok_2008100204004,Lesebok i Landsmaalet,"Paulson , Olav",1869
2837,URN:NBN:no-nb_digibok_2016051048047,Modersmaalets Grammatik til Skolebrug,"Løkke , Jakob",1871
1931,URN:NBN:no-nb_digibok_2008102300083,Modersmaalets Grammatik til Skolebrug,"Løkke , Jakob",1874
3025,URN:NBN:no-nb_digibok_2009072900109,Retskrivningsregler til skolebrug,"Jynge , Anton / Schreiner , E.",1874
398,URN:NBN:no-nb_digibok_2009072800065,Dansk og norsk literaturhistorie : til skolebrug,"Erichsen , A. E. ( Andreas Emil )",1878
4288,URN:NBN:no-nb_digibok_2013042608083,"Læsebog for aftenskoler, amtsskoler og højere folkeskoler","Julsrud , Johan",1879
805,URN:NBN:no-nb_digibok_2007061512008,Abc Bok,"Austlid , Andreas",1880
1229,URN:NBN:no-nb_digibok_2009012700027,Lesebok i det norske folkemaal for høgre skular,"Garborg , Arne / Mortensson-Egnund , Ivar",1885
4708,URN:NBN:no-nb_digibok_2011060704046,Læsebog i modersmaalet for folkeskolens og middelskolens høiere klasser samt for amts- og folkehøiskoler,"Broch , Chr . / Seip , M.",1886
4541,URN:NBN:no-nb_digibok_2017060748146,Lehrbuch der Norwegischen Sprache für den Selbstunterricht,"Poestion , J. C.",1890
2294,URN:NBN:no-nb_digibok_2009020403014,Lesebok fyr høgre skular,"Garborg , Arne / Mortensson-Egnund , Ivar",1893
864,URN:NBN:no-nb_digibok_2008040104099,Utvalde lesestykke i bygdemaal og landsmaal : Lesebok for høgre skular,"Garborg , Arne / Mortensen , Ivar",1893
3657,URN:NBN:no-nb_digibok_2019103148016,Læsebog for folkeskolen. D. 1(Landsmaalsudg.),"Rolfsen , Nordahl",1893
247,URN:NBN:no-nb_digibok_2012112012001,Læsebog for folkeskolen. D. 5,"Rolfsen , Nordahl",1895
3275,URN:NBN:no-nb_digibok_2012070612003,Læsebog for folkeskolen. Halvb. 1,"Rolfsen , Nordahl",1897
2322,URN:NBN:no-nb_digibok_2012070413004,Læsebog for folkeskolen. Halvb. 2 : Tredje klasse,"Rolfsen , Nordahl",1897
2411,URN:NBN:no-nb_digibok_2012071908096,ABC-bok,"Austlid , Andreas",1898
4292,URN:NBN:no-nb_digibok_2017081548015,Kortfattet norsk og dansk litteraturhistorie : med et tillæg om de forskjellige litteraturarter : nærmest til brug for middelskolen,"Broch , Chr . / Seip , M.",1898
868,URN:NBN:no-nb_digibok_2021040648838,Norwegian grammar and reader : with notes and vocabulary,"Olson , Julius E.",1898
3352,URN:NBN:no-nb_digibok_2009061704085,Lesebok for folkeskulen. 1 : Fyrste bandet,"Austlid , Andreas",1902
2645,URN:NBN:no-nb_digibok_2008040204052,Læseverk for Ungdomsskolen. 1 : Af Litteraturen før 1814 : med et tillæg,"Hægstad , Marius / Skard , Matias",1902
403,URN:NBN:no-nb_digibok_2008040200117,Læseverk for Ungdomsskolen. 2 : Norsk digtning efter 1814,"Hægstad , Marius / Skard , Matias",1902
4806,URN:NBN:no-nb_digibok_2017062107036,Lesebok for folkeskulen. 2 : Andre bandet : med teikningar og eit utval av lesestykke på norsk-dansk,"Austlid , Andreas",1903
4534,URN:NBN:no-nb_digibok_2009061704087,Lesebok for folkeskulen. 3 : Tridje bandet,"Austlid , Andreas",1906
377,URN:NBN:no-nb_digibok_2008082100018,Læsebok i morsmaalet : Andet bind,"Pauss , B. / Corneliussen , A. M. / Ellefsen , Olaf / Lassen , Hartvig",1907
2473,URN:NBN:no-nb_digibok_2008082100004,Læsebok i morsmaalet : Første bind,"Pauss , B. / Corneliussen , A. M. / Ellefsen , Olaf / Lassen , Hartvig",1907
2051,URN:NBN:no-nb_digibok_2008082004063,Læsebok i morsmaalet : Tredje bind,"Pauss , B. / Corneliussen , A. M. / Ellefsen , Olaf / Lassen , Hartvig",1908
4110,URN:NBN:no-nb_digibok_2008082004061,Læsebok i morsmaalet : Fjerde bind,"Pauss , B. / Corneliussen , A. M. / Ellefsen , Olaf / Lassen , Hartvig",1908
497,URN:NBN:no-nb_digibok_2010052706051,Læsebok for folkeskolen. Halvb. 2,"Rolfsen , Nordahl",1908
55,URN:NBN:no-nb_digibok_2010060420006,Brand : et dramatisk digt,"Ibsen , Henrik / Olson , Julius E.",1908
4026,URN:NBN:no-nb_digibok_2008082004062,Læsebok i morsmaalet : Tredje bind for middelskolen,"Pauss , B. / Corneliussen , A. M. / Ellefsen , Olaf / Lassen , Hartvig",1909
1071,URN:NBN:no-nb_digibok_2008082004049,Læsebok i morsmaalet : Tredje bind for landsskolen,"Pauss , B. / Corneliussen , A. M. / Ellefsen , Olaf / Lassen , Hartvig",1909
3970,URN:NBN:no-nb_digibok_2012100907188,Utvalg av norsk litteratur for gymnasiet,"Welhaven , J. S. ( Johan Sebastian )",1909
1113,URN:NBN:no-nb_digibok_2017050848220,Lesestykke i landsmaalet : utval til midskule-eksamen,"Koht , Halvdan",1909
3986,URN:NBN:no-nb_digibok_2012112813006,Læsebok for folkeskolen. D. 4,"Rolfsen , Nordahl",1910
3009,URN:NBN:no-nb_digibok_2011041820002,Læseverk for ungdomsskolen. 2 : Norsk digtning efter 1814,"Hægstad , Marius / Skard , Matias",1911
3574,URN:NBN:no-nb_digibok_2009062204009,Læseverk for ungdomsskolen. 1 : Av literaturen før 1814 : med et tillæg,"Hægstad , Marius / Skard , Matias",1911
2221,URN:NBN:no-nb_digibok_2008072800020,En liten norsk grammatik,"Hofgaard , S. W. / Eitrem , H. ( Hans )",1911
2481,URN:NBN:no-nb_digibok_2008072504072,Utvalg av norsk litteratur for gymnasiet. [Del] 1 : For første gymnasieklasse. 1:1 : For første gymnasieklasse. Første avdeling: Riksmaal,"Knudsen , D. F. ( David Faye )",1913
4549,URN:NBN:no-nb_digibok_2008070700072,Utvalg av norsk litteratur for gymnasiet. [Del] 1 : For første gymnasieklasse. 1:2 : For første gymnasieklasse. Annen avdeling: Landsmål,"Knudsen , D. F. ( David Faye )",1913
3080,URN:NBN:no-nb_digibok_2008070304073,Hjælpebok i norsk stil,"Schulstad , Olav",1913
3729,URN:NBN:no-nb_digibok_2016040508001,Norsk grammatik med eksempler og opgaver for skolen og til selvstudium,"Eikeland , P. J.",1915
1624,URN:NBN:no-nb_digibok_2016070508049,Henrik Ibsen,"Ibsen , Henrik / Knudsen , D. F. ( David Faye )",1915
889,URN:NBN:no-nb_digibok_2009062204064,Lesebok for folkeskulen. B. 2 : Andre bandet : med teikningar og eit utval av lesestykke paa norsk-dansk,"Austlid , Andreas",1915
4530,URN:NBN:no-nb_digibok_2013012508050,Haandbok i norsk retskrivning og uttale : til skolebruk og selvstudium,"Eikeland , P. J. / Rølvaag , O. E.",1916
3299,URN:NBN:no-nb_digibok_2013010808155,Johan Sebastian Welhaven,"Welhaven , J. S. ( Johan Sebastian ) / Knudsen , D. F. ( David Faye )",1917
1954,URN:NBN:no-nb_digibok_2009060804106,J. Jespersens ABC og lesebok,"Jespersen , J. / Greve , U. . / Olsen , Hilda",1918
2028,URN:NBN:no-nb_digibok_2009092303026,Norsk grammatikk og eksempelsamling : for middelskolen,"Platou , J. M.",1919
3050,URN:NBN:no-nb_digibok_2009013000060,Norsk grammatikk for folkeskolen,"Eriksen , Magnus",1920
3772,URN:NBN:no-nb_digibok_2021042148604,Lesebok for folkeskulen. B. 3,"Austlid , Andreas",1920
2281,URN:NBN:no-nb_digibok_2012101105030,Av litteraturen før 1814 : leseverk for ungdomsskolen. 1 : Med et tillegg,"Hægstad , Marius / Skard , Matias",1920
3947,URN:NBN:no-nb_digibok_2008092300039,Hjemme og ute : lesebok. 1,"Munch , Mathilde / Svensen , Sven",1921
1940,URN:NBN:no-nb_digibok_2009022600016,"Norsk lesebok : på grunnlag av Erichsen og Bretteville Jensen ""Norsk lesebok for middelskolen"" : første del (3-årig)","Eitrem , H.",1921
3064,URN:NBN:no-nb_digibok_2008092300051,Hjemme og ute : lesebok. 2,"Munch , Mathilde / Svensen , Sven",1922
2601,URN:NBN:no-nb_digibok_2008091904029,Hjemme og ute : lesebok. 3,"Munch , Mathilde / Svensen , Sven",1923
513,URN:NBN:no-nb_digibok_2008082600066,Hjemme og ute : lesebok. 4,"Munch , Mathilde / Svensen , Sven",1924
380,URN:NBN:no-nb_digibok_2008082600067,Hjemme og ute : lesebok. 5,"Munch , Mathilde / Svensen , Sven",1925
4156,URN:NBN:no-nb_digibok_2008062004041,Lesebok for folkeskolen. B. 4,"Killengreen , Christian / Borchgrevink , Ridley / Walle , Marie / Sethne , Anna",1925
1585,URN:NBN:no-nb_digibok_2009060804107,J. Jespersens ABC og lesebok,"Jespersen , J. / Greve , U. / Olsen , Hilda",1925
4692,URN:NBN:no-nb_digibok_2014081908181,Lesebok for folkeskolen. B. 1,"Killengreen , Christian",1926
791,URN:NBN:no-nb_digibok_2017061207075,Lesebok for folkeskolen. 4,"Rolfsen , Nordahl",1926
3806,URN:NBN:no-nb_digibok_2017052407135,Lesebok for folkeskolen. 5,"Rolfsen , Nordahl",1926
4111,URN:NBN:no-nb_digibok_2008080600026,Lesebok for folkeskolen. 1,"Rolfsen , Nordahl",1926
3931,URN:NBN:no-nb_digibok_2008080600028,Lesebok for folkeskolen. 3,"Rolfsen , Nordahl",1926
2417,URN:NBN:no-nb_digibok_2014052108016,Hjemme og ute : lesebok. 6,"Munch , Mathilde / Svensen , Sven",1926
4354,URN:NBN:no-nb_digibok_2012121308145,Hjemme og ute : lesebok. 6,"Munch , Mathilde / Svensen , Sven",1926
3028,URN:NBN:no-nb_digibok_2008092300058,Lesebok for folkeskolen. B. 6 : Fedreland og fremmed land,"Rolfsen , Nordahl",1927
926,URN:NBN:no-nb_digibok_2012083008202,Norsk grammatikk og eksempelsamling : for middelskolen,"Platou , J. M.",1927
1425,URN:NBN:no-nb_digibok_2008072500072,Lesebok for folkeskolen. B. 2,"Killengreen , Christian",1928
4742,URN:NBN:no-nb_digibok_2008080600024,Lesebok for folkeskolen. Halvb. 2,"Rolfsen , Nordahl",1928
1265,URN:NBN:no-nb_digibok_2008072904057,Lesestykke i landsmål med valfrie former for gymnaset. 3 : Historie,"Østlid , Martin",1928
3479,URN:NBN:no-nb_digibok_2011011005053,Hjemme og ute : lesebok. 2,"Munch , Mathilde / Svensen , Sven",1928
466,URN:NBN:no-nb_digibok_2011021006009,Norsk prosa : landsmål,"Sørlie , Mikjel / Thesen , Rolv",1928
321,URN:NBN:no-nb_digibok_2010060806032,Hjemme og ute : lesebok. 3,"Munch , Mathilde / Svensen , Sven",1928
3911,URN:NBN:no-nb_digibok_2015071308081,Lesestykke i landsmål med valfrie former for gymnaset. 2 : Soge og folkedikting,"Østlid , Martin",1928
343,URN:NBN:no-nb_digibok_2008110604091,Lesebok for folkeskolen. Halvb. 1,"Rolfsen , Nordahl",1928
2197,URN:NBN:no-nb_digibok_2008092300056,Lesebok for folkeskolen. 3,"Rolfsen , Nordahl",1929
1504,URN:NBN:no-nb_digibok_2014102708213,Hjemme og ute : lesebok. 4,"Munch , Mathilde / Svensen , Sven",1929
837,URN:NBN:no-nb_digibok_2016020508022,Hjemme og ute : lesebok. 7,"Munch , Mathilde / Svensen , Sven",1930
2686,URN:NBN:no-nb_digibok_2006121401009,Terje Viken,"Ibsen , Henrik / Michelet , Maren / Vowles , Guy Richard",1930
420,URN:NBN:no-nb_digibok_2013010308188,Utenatskrift : småstykker til hjemmelekse,"Eriksen , Magnus",1930
798,URN:NBN:no-nb_digibok_2012050808018,Skriftlig norsk : Mindre utgave. [3] : 6. og 7. skoleår,"Bergersen , Hans",1930
292,URN:NBN:no-nb_digibok_2009022500131,Norsk lesebok. 1,"Austlid , Andreas",1930
1523,URN:NBN:no-nb_digibok_2014012208041,Hjemme og ute : lesebok. 1,"Munch , Mathilde / Svensen , Sven",1930
642,URN:NBN:no-nb_digibok_2009012600022,Norsk lesebok. 2,"Austlid , Andreas",1931
3850,URN:NBN:no-nb_digibok_2008092300057,Lesebok for folkeskolen. 4,"Rolfsen , Nordahl",1931
2882,URN:NBN:no-nb_digibok_2009061604037,Norsk lesebok. 4,"Austlid , Andreas",1931
126,URN:NBN:no-nb_digibok_2014082708049,Johan Sebastian Welhaven,"Welhaven , J. S. ( Johan Sebastian ) / Knudsen , D. F. ( David Faye )",1931
2768,URN:NBN:no-nb_digibok_2008072900006,Norsk grammatikk : større utgåve,"Heggstad , Leiv",1931
73,URN:NBN:no-nb_digibok_2008100104097,Lesebok for folkeskolen. 5 : For 7de klasse,"Rolfsen , Nordahl",1932
4743,URN:NBN:no-nb_digibok_2009062201058,Lesebok for norsk ungdom,"Høeg , Hans / Svarstad , Hans",1932
717,URN:NBN:no-nb_digibok_2014031108088,Norsk brevbok,"Os , Edvard",1932
233,URN:NBN:no-nb_digibok_2009013000061,Norsk grammatikk for folkeskulen,"Eriksen , Magnus",1933
1918,URN:NBN:no-nb_digibok_2016053048033,Norsk lesebok. 1,"Austlid , Andreas",1933
2414,URN:NBN:no-nb_digibok_2009020300036,ABC og lesebok,"Jespersen , J. / Greve , U. / Olsen , Hilda",1934
2857,URN:NBN:no-nb_digibok_2012041808005,Norsk grammatikk for folkeskolen,"Haaland , Gerh .",1935
2230,URN:NBN:no-nb_digibok_2013112808042,Norwegian self-taught : by the natural method : with phonetic pronunciation : Thimm's system,"Thimm , Carl Albert / McClean , R. J.",1935
1236,URN:NBN:no-nb_digibok_2008072800042,Henrik Arnold Wergeland,"Wergeland , Henrik / Høigård , Einar / Knudsen , D. F. ( David Faye )",1938
877,URN:NBN:no-nb_digibok_2014090808099,Skriftlig norsk : 4. og 5. skoleår,"Bergersen , Hans",1939
1382,URN:NBN:no-nb_digibok_2008100104118,Øvinger i rettskrivning : 4. klasse,"Olsen , Hilda / Halvorsen , Hartvig",1939
1366,URN:NBN:no-nb_digibok_2008100104119,Øvinger i rettskrivning : 2. klasse,"Olsen , Hilda / Halvorsen , Hartvig",1939
1104,URN:NBN:no-nb_digibok_2009020500004,Norsk grammatikk for folkeskolen,"Eriksen , Magnus",1939
24,URN:NBN:no-nb_digibok_2009062201023,Lærebok i norsk for folkeskolen : 5. klasse,"Asheim , Konrad",1939
330,URN:NBN:no-nb_digibok_2017052407003,Skriftlig norsk : 3. klasse,"Bergersen , Hans",1939
2011,URN:NBN:no-nb_digibok_2009042904021,Norsklære : etter arbeidsskuleprinsippet,"Haaland , Gerh .",1939
4483,URN:NBN:no-nb_digibok_2010062306010,Lesebok : første skoleår,"Bergersen , Hans / Tranheim , Aslaug / Mauritz-Hansen , Ivar / Johnson , Arne",1939
2775,URN:NBN:no-nb_digibok_2012050808050,Skriftlig norsk : 5. klasse,"Bergersen , Hans",1939
4710,URN:NBN:no-nb_digibok_2009072900001,Skriftlig norsk : 6. og 7. skoleår,"Bergersen , Hans / Hanno , O [ tto ] v [ on ]",1939
3623,URN:NBN:no-nb_digibok_2009042904018,Norsk grammatikk for realskolen og gymnaset,"Haaland , Gerh .",1939
3598,URN:NBN:no-nb_digibok_2017042848127,ABC og lesebok,"Jespersen , J. / Greve , U. . / Olsen , Hilda / Jenssen , Aase . / Lunden , William",1939
1021,URN:NBN:no-nb_digibok_2013081208043,Norsk grammatikk for folkeskulen,"Eriksen , Magnus",1939
2482,URN:NBN:no-nb_digibok_2008061100081,Opplæring i norsk : radikale former : 4. klasse,"Søreide , Henrik",1939
1930,URN:NBN:no-nb_digibok_2008061100091,Opplæring i norsk : radikale former : 7. klasse,"Søreide , Henrik",1939
162,URN:NBN:no-nb_digibok_2016041248159,Opplæring i norsk : radikale former : 4. klasse,"Søreide , Henrik",1939
4380,URN:NBN:no-nb_digibok_2008061100082,Opplæring i norsk : radikale former : 3. klasse,"Søreide , Henrik",1939
1643,URN:NBN:no-nb_digibok_2012050808026,Skriftlig norsk : 2. klasse,"Bergersen , Hans",1939
1419,URN:NBN:no-nb_digibok_2021032548627,Min første lesebok,"Gundersen , Marie / Munch , Mathilde",1939
2643,URN:NBN:no-nb_digibok_2008061100092,Opplæring i norsk : radikale former : 6. klasse,"Søreide , Henrik",1939
477,URN:NBN:no-nb_digibok_2017072607160,Lesebok : fyrste skuleåret,"Bergersen , Hans",1939
2978,URN:NBN:no-nb_digibok_2013091308103,Skriftlig norsk : 2. og 3. skoleår,"Bergersen , Hans",1939
783,URN:NBN:no-nb_digibok_2012050708140,Skriftlig norsk : 6. klasse,"Bergersen , Hans",1939
2610,URN:NBN:no-nb_digibok_2008061100080,Opplæring i norsk : radikale former : 5. klasse,"Søreide , Henrik",1939
4402,URN:NBN:no-nb_digibok_2010070705009,Opplæring i norsk : radikale former : 2. klasse,"Søreide , Henrik / Grøgaard , Joachim",1939
1461,URN:NBN:no-nb_digibok_2008091604015,Nordahl Rolfsens lesebok. 2 : Småkryp og svære ting,"Rolfsen , Nordahl / Bergersen , Hans",1939
2120,URN:NBN:no-nb_digibok_2012050808049,Skriftlig norsk : 4. klasse,"Bergersen , Hans",1939
1809,URN:NBN:no-nb_digibok_2008121704015,ABC,"Rumohr , Marianne / Hanno , Carl von",1939
508,URN:NBN:no-nb_digibok_2013073108151,Lærebok i norsk etter arbeidsskoleprinsippet : bokmål. H. 3 : 6. og 7. klasse,"Haaland , Gerh . / Thornam , Arnold",1939
4228,URN:NBN:no-nb_digibok_2016071108156,Nynorske attforteljingar til skulebruk,"Seland , Søren",1940
3589,URN:NBN:no-nb_digibok_2008092200042,Nordahl Rolfsens lesebok. 6 : Bøkene taler,"Rolfsen , Nordahl",1940
1532,URN:NBN:no-nb_digibok_2008080500019,Norsk grammatikk : mindre utgåve,"Heggstad , Leiv",1940
1583,URN:NBN:no-nb_digibok_2010062406120,Norsk litteraturhistorie til skolebruk,"Grønvold , Didrik",1940
2516,URN:NBN:no-nb_digibok_2021083148027,Stutt lærebok i nynorsk : (rettskrivingslære og grammatikk) : særleg for høgre skular,"Heggstad , Leiv",1940
1816,URN:NBN:no-nb_digibok_2008070201044,Heime og ute : lesebok. 1A,"Munch , Mathilde / Svensen , Sven",1940
1628,URN:NBN:no-nb_digibok_2008061100069,Opplæring i norsk : 4. klasse,"Søreide , Henrik",1940
544,URN:NBN:no-nb_digibok_2013110508184,Heime og ute : lesebok. 2B,"Munch , Mathilde / Svensen , Sven",1940
66,URN:NBN:no-nb_digibok_2009071000008,Norsklære : nynorsk med bokmålstillegg,"Dale , Johs . A.",1940
1116,URN:NBN:no-nb_digibok_2008072204017,Heime og ute : lesebok. 3A,"Munch , Mathilde / Svensen , Sven",1940
211,URN:NBN:no-nb_digibok_2007062201044,Bilder av norsk åndsliv. 1 : Det nasjonale gjennombrudd,"Grøndal , Leif H. / Østby , Leif",1940
1084,URN:NBN:no-nb_digibok_2008061100070,Opplæring i norsk : 5. klasse,"Søreide , Henrik",1940
4282,URN:NBN:no-nb_digibok_2013121708099,Skriftleg norsk : 4. og 5. skuleåret,"Bergersen , Hans / Hanno , O [ tto ] v [ on ]",1940
2635,URN:NBN:no-nb_digibok_2008041601009,Johan Sebastian Welhaven,"Welhaven , J. S. ( Johan Sebastian ) / Knudsen , Trygve",1940
2694,URN:NBN:no-nb_digibok_2008100104113,Øvinger i rettskrivning : 5. klasse,"Olsen , Hilda / Halvorsen , Hartvig",1940
916,URN:NBN:no-nb_digibok_2008072800041,Henrik Arnold Wergeland,"Wergeland , Henrik / Høigård , Einar / Knudsen , D. F. ( David Faye )",1940
4788,URN:NBN:no-nb_digibok_2008100104114,Øvinger i rettskrivning : 3. klasse,"Olsen , Hilda / Halvorsen , Hartvig",1940
2237,URN:NBN:no-nb_digibok_2008041404085,Kom skal vi lese,"Netland , Ingebjørg / Grøgaard , Joachim",1940
720,URN:NBN:no-nb_digibok_2016040508106,85 emne til attforteljing og diktat,"Fjalestad , Jakob",1940
576,URN:NBN:no-nb_digibok_2008070201043,Heime og ute : lesebok. 4A,"Munch , Mathilde / Svensen , Sven",1940
1313,URN:NBN:no-nb_digibok_2014022708216,Reading Norwegian,"Haugen , Einar",1940
638,URN:NBN:no-nb_digibok_2009062204029,Grammatikk for folkeskulen,"Bergersen , Hans",1941
3888,URN:NBN:no-nb_digibok_2009041404093,Norsk litteraturhistorie for gymnaset,"Ruge , Herman",1941
4102,URN:NBN:no-nb_digibok_2013062608012,Lesebok : faglig lesning for framhaldsskoler og andre ungdomsskoler : med rettskrivning av 1938 : Fedreland og fremmed land,"Rolfsen , Nordahl / Fjeldbo , Karl / Amundsen , Sverre S.",1941
1676,URN:NBN:no-nb_digibok_2009020200082,Lærebok i norsk : etter arbeidsskoleprinsippet. 1 : 2. & 3. klasse,"Haaland , Gerh .",1943
3181,URN:NBN:no-nb_digibok_2021032448515,Henrik Arnold Wergeland,"Wergeland , Henrik / Høigård , Einar / Knudsen , D. F. ( David Faye )",1946
3150,URN:NBN:no-nb_digibok_2007011100021,Nå gjelder det - : grammatikk-konkurranse for folkeskolen : oppgavehefte,"Skjemstad , Aksel",1946
3114,URN:NBN:no-nb_digibok_2008041504057,Norsk litteratur for ungdom. 1,"Bredeli , Hans / Moren , Sigmund",1946
3513,URN:NBN:no-nb_digibok_2014111308144,Lærebok i norsk : etter arbeidsskoleprinsippet. H. 3 : 6. og 7. klasse,"Haaland , Gerh .",1946
569,URN:NBN:no-nb_digibok_2012050708150,Skriftlig norsk : 4. klasse,"Bergersen , Hans",1947
1379,URN:NBN:no-nb_digibok_2009020200032,Norsk grammatikk for folkeskolen,"Eriksen , Magnus",1947
594,URN:NBN:no-nb_digibok_2008042104051,Henrik Arnold Wergeland,"Høigård , Einar / Knudsen , D. F. ( David Faye ) / Wergeland , Henrik",1947
4144,URN:NBN:no-nb_digibok_2009012600006,Norsk lesebok. 4,"Austlid , Andreas",1947
2896,URN:NBN:no-nb_digibok_2016041148099,Spoken Norwegian,"Haugen , Einar",1947
428,URN:NBN:no-nb_digibok_2007022701052,Om lærebokvokabularet i den høyere skole : hvordan elevene tilegner seg det,"Simonsen , Kathrine",1947
3563,URN:NBN:no-nb_digibok_2007061804100,Norsk litteratur gjennom 1000 år. Bd. 2 : Det 19. hundreåret,"Skard , Eiliv / Skard , Vemund",1948
2238,URN:NBN:no-nb_digibok_2014072208199,Norsk grammatikk for folkeskulen,"Haaland , Gerh .",1948
2050,URN:NBN:no-nb_digibok_2007061204038,Norsk litteratur gjennom 1000 år. 1 : Inntil 1814,"Skard , Eiliv / Skard , Vemund",1948
2877,URN:NBN:no-nb_digibok_2013022506023,Nordahl Rolfsens lesebok. 5 : Dikt og dåd,"Rolfsen , Nordahl / Amundsen , Sverre S.",1948
2493,URN:NBN:no-nb_digibok_2014031806071,Nordahl Rolfsens lesebok. 3 : Rundt Norge,"Rolfsen , Nordahl / Amundsen , Sverre S.",1948
3244,URN:NBN:no-nb_digibok_2007061400001,Norsk litteratur gjennom 1000 år. Bd. 3 : Det 20. hundreåret,"Skard , Eiliv / Skard , Vemund",1948
381,URN:NBN:no-nb_digibok_2012050808025,Skriftleg norsk : 6. og 7. skuleåret,"Bergersen , Hans",1948
1876,URN:NBN:no-nb_digibok_2010111706053,Heime og ute : lesebok. 5A,"Munch , Mathilde",1949
4223,URN:NBN:no-nb_digibok_2016010408261,Heime og ute : lesebok. 2A,"Munch , Mathilde",1949
3439,URN:NBN:no-nb_digibok_2012082408292,Øvingsdiktater i norsk rettskrivning for folkeskolen,"Ramdahl , O.",1949
3868,URN:NBN:no-nb_digibok_2014091008169,Opplæring i norsk : A-utgave med bilder : 5. klasse,"Søreide , Henrik",1949
4623,URN:NBN:no-nb_digibok_2008042204180,Opplæring i norsk : A-utgave med bilder : 6. klasse,"Søreide , Henrik",1949
2353,URN:NBN:no-nb_digibok_2008091000080,Nordahl Rolfsens lesebok. 4 : Arbeid og eventyr,"Rolfsen , Nordahl / Amundsen , Sverre S.",1949
2220,URN:NBN:no-nb_digibok_2011102108239,Norsk i framhaldsskulen : arbeidsoppgåver,"Slinde , Leiv",1950
3891,URN:NBN:no-nb_digibok_2009061701030,Norsklære : nynorsk med bokmålstillegg,"Dale , Johs . A.",1950
2674,URN:NBN:no-nb_digibok_2009013004021,Thorbjørn Egners lesebøker. 7 : Gode naboer : for første halvdel av femte skoleår,"Egner , Thorbjørn",1950
2331,URN:NBN:no-nb_digibok_2020101407584,Småskolens lesebøker. Bok 1 : I byen og på landet : første bok,"Egner , Thorbjørn / Jacobsen , Karen / Kløvstad , Helene C.",1950
2676,URN:NBN:no-nb_digibok_2017012748019,Heime og ute : lesebok. 1A,"Munch , Mathilde",1950
1279,URN:NBN:no-nb_digibok_2009062204023,Skriftlig norsk : 2. skoleår ; ill. av Arne Johnsen,"Bergersen , Hans / Johnson , Arne",1950
3585,URN:NBN:no-nb_digibok_2016101008075,10 timer i norsk : nynorske læsestykker til undervisning og selvstudium,"Harmer , Borghild / Holst , Olaf",1950
3274,URN:NBN:no-nb_digibok_2008042900048,Fra P. A. Jensen til Nordahl Rolfsen : et skolehistorisk bilde,"Sanderud , Roar",1951
1823,URN:NBN:no-nb_digibok_2008110704013,Heime og ute : lesebok. 6A,"Munch , Mathilde",1951
856,URN:NBN:no-nb_digibok_2009062204021,Skriftlig norsk : 4. skoleår,"Bergersen , Hans / Johnson , Arne",1951
748,URN:NBN:no-nb_digibok_2008070304095,Oppgaver i norsk for framhaldsskolen,"Skjølberg , Erling",1951
5,URN:NBN:no-nb_digibok_2008072104060,Norsk diktning i utvalg : med et tillegg av dansk og svensk poesi og prosa : for gymnaset,"Nerdrum , Hans / Hanssen , P. Vogth / Tveterås , A.",1951
1424,URN:NBN:no-nb_digibok_2009051104078,Lærebok i norsk : for folkeskolen. 3. hefte : 4. klasse,"Asheim , Konrad / Asheim , Sigvald",1951
4772,URN:NBN:no-nb_digibok_2017052307011,Småstykker til diktat og gjenfortelling,"Eriksen , Magnus",1952
4353,URN:NBN:no-nb_digibok_2011052004022,Lærebok i norsk : etter arbeidsskoleprinsippet. H. 2 : 4. og 5. klasse,"Haaland , Gerh .",1952
1843,URN:NBN:no-nb_digibok_2009020204160,Vi skriver norsk : 6. skoleår : rettskrivning og tegnsetning,"Eriksen , Ester / Østnor , Gerd",1953
4665,URN:NBN:no-nb_digibok_2009012800037,Vi skriver norsk : 4. skoleår : rettskrivning og tegnsetning,"Eriksen , Ester / Østnor , Gerd",1953
198,URN:NBN:no-nb_digibok_2009062204025,Skriftlig norsk : Mindre utgave. [2] : 4. og 5. skoleår,"Bergersen , Hans",1953
129,URN:NBN:no-nb_digibok_2008050500024,Skriftleg norsk : 4. og 5. skuleåret,"Bergersen , Hans",1953
1462,URN:NBN:no-nb_digibok_2012020808160,5. skoleår : rettskrivning og tegnsetning,"Eide , Aasmund J.",1953
4047,URN:NBN:no-nb_digibok_2009062204024,Skriftlig norsk : Mindre utgave. [3] : 6. og 7. skoleår,"Bergersen , Hans",1953
4696,URN:NBN:no-nb_digibok_2012011808083,Vi skriver norsk : 7. skoleår : rettskrivning og tegnsetning,"Eriksen , Ester / Østnor , Gerd",1953
177,URN:NBN:no-nb_digibok_2012010208110,Vi skriver norsk : 3. skoleår : morsmål og heimstad,"Eriksen , Ester / Østnor , Gerd",1953
2485,URN:NBN:no-nb_digibok_2012010208111,Vi skriver norsk : 5. skoleår : rettskrivning og tegnsetning,"Eriksen , Ester / Østnor , Gerd",1953
170,URN:NBN:no-nb_digibok_2011111708174,6. skoleår : rettskrivning og tegnsetning,"Eide , Aasmund J.",1953
3290,URN:NBN:no-nb_digibok_2009062204026,Skriftlig norsk : Mindre utgave. [1] : 2. og 3. skoleår,"Bergersen , Hans",1953
